PROTOCOL_NAME,term,estimate,std.error,statistic,p.value
tox21-ahr-p1,FractionCSP3,-1.3017083843601747,0.12469294257430537,-10.439310818128122,1.6399696136524625e-25
tox21-ap1-agonist-p1,FractionCSP3,-0.14817501710165698,0.13933382378619708,-1.0634533171861156,0.2875764247805806
tox21-ar-bla-antagonist-p1,FractionCSP3,-0.5285578821363683,0.10492891605185233,-5.037294789885878,4.721573235787863e-7
tox21-ar-mda-kb2-luc-agonist-p3,FractionCSP3,-1.2366973960884162,0.10855235259208208,-11.392635595247542,4.5501482481420316e-30
tox21-ar-mda-kb2-luc-antagonist-p1,FractionCSP3,-1.008730964393558,0.11756894801249727,-8.579909758878957,9.494759953883098e-18
tox21-ar-mda-kb2-luc-antagonist-p2,FractionCSP3,-0.9533483035538944,0.12711653008486537,-7.4997980429250335,6.391623361188974e-14
tox21-are-bla-p1,FractionCSP3,-0.48614690456640947,0.12350089088193812,-3.936383787151352,8.271864913121956e-5
tox21-aromatase-p1,FractionCSP3,-0.9583995862732464,0.10044296191744631,-9.541729634187325,1.404696717901996e-21
tox21-car-agonist-p1,FractionCSP3,-0.948243403088914,0.11484398829412581,-8.256796173434669,1.4963463107940785e-16
tox21-car-antagonist-p1,FractionCSP3,-0.8927147759409941,0.10992535377840942,-8.121099866920177,4.619776817277379e-16
tox21-elg1-luc-agonist-p1,FractionCSP3,-1.0527683519122444,0.12929355945943374,-8.14246553589975,3.873087676045916e-16
tox21-er-bla-antagonist-p1,FractionCSP3,-0.15920123794307664,0.14748428122960638,-1.0794454610063093,0.2803891942203917
tox21-er-luc-bg1-4e2-agonist-p4,FractionCSP3,-1.5968736687378318,0.11652132318030757,-13.704561750185377,9.534122473613654e-43
tox21-er-luc-bg1-4e2-antagonist-p1,FractionCSP3,-0.989357856724388,0.12960936785462515,-7.633382317195543,2.2867344751897196e-14
tox21-er-luc-bg1-4e2-antagonist-p2,FractionCSP3,-1.684132589782901,0.16747093951910927,-10.056267640337284,8.62047561987307e-24
tox21-erb-bla-antagonist-p1,FractionCSP3,-0.3556908164738619,0.10733103971578205,-3.3139604108536447,9.198453002985062e-4
tox21-erb-bla-p1,FractionCSP3,-0.3972903507602124,0.10340381671893487,-3.842124627179862,1.219738713308224e-4
tox21-err-p1,FractionCSP3,-1.0309606940983471,0.10031060995091234,-10.277683433515701,8.88371666282463e-25
tox21-esre-bla-p1,FractionCSP3,-0.017179166060950466,0.13629615501087725,-0.12604292512565352,0.8996979461670336
tox21-fxr-bla-agonist-p2,FractionCSP3,-0.2140074378239306,0.12292990316187684,-1.7408899894936127,0.0817028637573649
tox21-fxr-bla-antagonist-p1,FractionCSP3,0.04547042286324318,0.13424181767750512,0.33872025610140893,0.7348204796344678
tox21-gh3-tre-antagonist-p1,FractionCSP3,-0.8016065696676283,0.08325200674162056,-9.628675644486027,6.050421694337671e-22
tox21-gr-hela-bla-antagonist-p1,FractionCSP3,-0.10846460024635515,0.12686105576227147,-0.8549873686185463,0.39255814058271105
tox21-h2ax-cho-p2,FractionCSP3,-0.6797812411514794,0.10531033638907793,-6.455028674867871,1.0819841371441707e-10
tox21-hdac-p1,FractionCSP3,-0.8000331120891637,0.2682550344079797,-2.9823601031562426,0.002860353399130019
tox21-hre-bla-agonist-p1,FractionCSP3,-0.15896739235494917,0.11469478517477555,-1.3860036627882393,0.16574578505242407
tox21-hse-bla-p1,FractionCSP3,0.15204109915509537,0.13856944023080708,1.0972195521743418,0.272545428052679
tox21-mitotox-p1,FractionCSP3,-1.270444129212947,0.15501758708744426,-8.195483835626334,2.4958716505106267e-16
tox21-nfkb-bla-agonist-p1,FractionCSP3,-0.09109916179176311,0.14813222469046317,-0.6149854427834576,0.5385643341094815
tox21-p53-bla-p1,FractionCSP3,-0.3873739481917517,0.12249521975511408,-3.1623597146580007,0.0015649611817703515
tox21-pgc-err-p1,FractionCSP3,-1.0046180466803138,0.10144731413085992,-9.902855046358615,4.045577222112125e-23
tox21-ppard-bla-agonist-p1,FractionCSP3,-0.20591561637989272,0.10327989627938369,-1.9937628115240154,0.0461779814480342
